"date","round","home","away","home_score","away_score"
2015-12-19,21,"Termalica Bruk-Bet Nieciecza","Ruch Chorzów",0,1
2015-12-19,21,"Jagiellonia Białystok","Cracovia",2,2
2015-12-20,21,"Korona Kielce","Legia Warszawa",1,3
2015-12-20,21,"Piast Gliwice","Lech Poznań",2,0
2016-02-12,22,"Śląsk Wrocław","Wisła Kraków",1,0
2016-02-13,22,"Lechia Gdańsk","Podbeskidzie Bielsko-Biała",5,0
2016-02-15,22,"Pogoń Szczecin","Korona Kielce",3,2
2016-02-13,22,"Górnik Łęczna","Piast Gliwice",0,0
2016-02-14,22,"Legia Warszawa","Jagiellonia Białystok",4,0
2016-02-12,22,"Ruch Chorzów","Zagłębie Lubin",0,0
2016-02-14,22,"Lech Poznań","Termalica Bruk-Bet Nieciecza",5,2
2016-02-13,22,"Cracovia","Górnik Zabrze",3,0
2016-02-19,23,"Piast Gliwice","Pogoń Szczecin",0,0
2016-02-20,23,"Korona Kielce","Lechia Gdańsk",4,2
2016-02-19,23,"Jagiellonia Białystok","Śląsk Wrocław",2,1
2016-02-22,23,"Wisła Kraków","Górnik Łęczna",1,1
2016-02-21,23,"Górnik Zabrze","Ruch Chorzów",0,2
2016-02-20,23,"Termalica Bruk-Bet Nieciecza","Cracovia",1,1
2016-02-21,23,"Zagłębie Lubin","Legia Warszawa",1,2
2016-02-20,23,"Podbeskidzie Bielsko-Biała","Lech Poznań",4,1
2016-02-27,24,"Wisła Kraków","Podbeskidzie Bielsko-Biała",1,2
2016-02-27,24,"Górnik Łęczna","Korona Kielce",3,2
2016-02-27,24,"Lechia Gdańsk","Piast Gliwice",3,1
2016-02-28,24,"Lech Poznań","Jagiellonia Białystok",0,2
2016-02-26,24,"Cracovia","Zagłębie Lubin",1,2
2016-02-28,24,"Pogoń Szczecin","Termalica Bruk-Bet Nieciecza",1,1
2016-02-26,24,"Śląsk Wrocław","Górnik Zabrze",0,0
2016-02-28,24,"Legia Warszawa","Ruch Chorzów",2,0
2016-03-02,25,"Jagiellonia Białystok","Pogoń Szczecin",0,0
2016-03-01,25,"Zagłębie Lubin","Lechia Gdańsk",1,0
2016-03-08,25,"Piast Gliwice","Śląsk Wrocław",1,0
2016-03-01,25,"Podbeskidzie Bielsko-Biała","Górnik Łęczna",2,0
2016-03-08,25,"Korona Kielce","Wisła Kraków",1,1
2016-03-02,25,"Ruch Chorzów","Cracovia",2,3
2016-03-02,25,"Termalica Bruk-Bet Nieciecza","Legia Warszawa",3,0
2016-03-02,25,"Górnik Zabrze","Lech Poznań",0,2
2016-03-04,26,"Podbeskidzie Bielsko-Biała","Korona Kielce",1,1
2016-03-04,26,"Wisła Kraków","Piast Gliwice",1,1
2016-03-06,26,"Lechia Gdańsk","Jagiellonia Białystok",5,1
2016-03-05,26,"Śląsk Wrocław","Zagłębie Lubin",0,2
2016-03-05,26,"Górnik Łęczna","Termalica Bruk-Bet Nieciecza",1,2
2016-03-05,26,"Legia Warszawa","Górnik Zabrze",3,1
2016-03-07,26,"Pogoń Szczecin","Ruch Chorzów",2,3
2016-03-06,26,"Lech Poznań","Cracovia",2,1
2016-03-13,27,"Zagłębie Lubin","Pogoń Szczecin",1,1
2016-03-13,27,"Górnik Zabrze","Lechia Gdańsk",1,1
2016-03-11,27,"Korona Kielce","Śląsk Wrocław",2,2
2016-03-12,27,"Jagiellonia Białystok","Górnik Łęczna",1,0
2016-03-14,27,"Termalica Bruk-Bet Nieciecza","Wisła Kraków",2,4
2016-03-11,27,"Piast Gliwice","Podbeskidzie Bielsko-Biała",3,2
2016-03-12,27,"Cracovia","Legia Warszawa",1,2
2016-03-12,27,"Ruch Chorzów","Lech Poznań",1,3
2016-03-18,28,"Korona Kielce","Piast Gliwice",1,1
2016-03-18,28,"Wisła Kraków","Jagiellonia Białystok",5,1
2016-03-20,28,"Górnik Łęczna","Zagłębie Lubin",0,2
2016-03-20,28,"Lechia Gdańsk","Termalica Bruk-Bet Nieciecza",1,1
2016-03-19,28,"Podbeskidzie Bielsko-Biała","Górnik Zabrze",0,0
2016-03-19,28,"Śląsk Wrocław","Ruch Chorzów",0,0
2016-03-20,28,"Pogoń Szczecin","Cracovia",2,2
2016-03-19,28,"Lech Poznań","Legia Warszawa",0,2
2016-04-01,29,"Górnik Zabrze","Pogoń Szczecin",1,1
2016-04-02,29,"Legia Warszawa","Lechia Gdańsk",1,1
2016-04-01,29,"Lech Poznań","Śląsk Wrocław",0,1
2016-04-02,29,"Cracovia","Górnik Łęczna",0,0
2016-04-03,29,"Ruch Chorzów","Wisła Kraków",2,3
2016-04-04,29,"Jagiellonia Białystok","Podbeskidzie Bielsko-Biała",0,3
2016-04-02,29,"Termalica Bruk-Bet Nieciecza","Korona Kielce",0,1
2016-04-03,29,"Zagłębie Lubin","Piast Gliwice",4,1
2016-04-09,30,"Piast Gliwice","Jagiellonia Białystok",2,0
2016-04-09,30,"Wisła Kraków","Zagłębie Lubin",1,1
2016-04-09,30,"Podbeskidzie Bielsko-Biała","Termalica Bruk-Bet Nieciecza",2,0
2016-04-09,30,"Korona Kielce","Górnik Zabrze",2,1
2016-04-09,30,"Lechia Gdańsk","Ruch Chorzów",2,0
2016-04-09,30,"Śląsk Wrocław","Cracovia",2,1
2016-04-09,30,"Pogoń Szczecin","Legia Warszawa",0,0
2016-04-09,30,"Górnik Łęczna","Lech Poznań",0,1
2016-04-15,31,"Legia Warszawa","Lech Poznań",1,0
2016-04-16,31,"Piast Gliwice","Cracovia",1,1
2016-04-15,31,"Pogoń Szczecin","Ruch Chorzów",1,1
